英文,繁中,簡中
Glass Lewis, GL, GL
Institutional Shareholder Services, ISS, ISS
California State Teachers' Retirement System, 加州教師退休系統, 加州教师退休系统
AP2, AP2, AP2
ChatGPT, ChatGPT, ChatGPT
Gemini 1.5 Pro, Gemini 1.5 Pro, Gemini 1.5 Pro
GPT-4.5 Turbo, GPT-4.5 Turbo, GPT-4.5 Turbo
Llama3, Llama3, Llama3
GPU, GPU, GPU
AI, 人工智慧, 人工智能
EPS, 每股盈餘, 每股收益
Computex, 台北國際電腦展, 台北国际电脑展
Arm, 安謀, 安谋
ETF, 交易所交易基金, 交易所交易基金
LINE, LINE, LINE
Taipei Fubon Bank, 台北富邦銀行, 台北富邦银行
Far EasTone, 遠傳, 远传
Asia Pacific Telecom, 亞太電信, 亚太电信
Supreme Court, 最高法院, 最高法院
Legislative Yuan, 立法院, 立法院
Ministry of Finance, 財政部, 财政部
Foxconn, 鴻海, 鸿海
ESG, 環境、社會及公司治理, 环境、社会及公司治理
EV, 電動車, 电动车
Central Weather Bureau, 中央氣象署, 中央气象署
ETtoday, ETtoday, ETtoday
Ministry of Labor, 勞動部, 劳动部.
Financial Supervisory Commission, 金管會, 金管会
Taiwan Stock Exchange, 台股, 台股
United States, 美國, 美国
Geopolitical, 地緣政治, 地缘政治
AI Technology Stocks, AI科技股, AI科技股
Capital Market, 資本市場, 资本市场
Financial Industry, 金融業, 金融业
Bank, 銀行, 银行
Securities Firm, 券商, 券商
Life Insurance Industry, 壽險業, 寿险业
Stock Investment, 股票投資, 股票投资
S&P Index, S&P指數, S&P指数
Latte Factor, 拿鐵因子, 拿铁因子
FIRE Movement, FIRE族, FIRE族
Financial Independence, 經濟獨立, 经济独立
Retire Early, 提早退休, 提早退休
Nick Maggiulli, 尼克．馬朱利, 尼克．马朱利
Compound Interest, 複利, 复利
ETF, ETF, ETF
Apple, 蘋果, 苹果
Microsoft, 微軟, 微软
General Electric, 奇異, 奇异
IBM, IBM, IBM
Nanoinvest, 奈米投, 奈米投
Taipei Fubon Bank, 台北富邦銀行, 台北富邦银行
Baby Boomers, 嬰兒潮世代, 婴儿潮世代
Generation X, X世代, X世代
Generation Y, Y世代, Y世代
Generation Z, Z世代, Z世代
Generation Alpha, α世代, α世代
Millennials, 千禧世代, 千禧世代
Digital Natives, 數位原住民, 数位原住民
Internet Generation, 網路世代, 网络世代
RBCU, 美國信用合作社, 美国信用合作社
Marcus Arcabascio, Marcus Arcabascio, Marcus Arcabascio
Trust Contract, 信託契約, 信托契约.
